Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
8,16.542,0.184,2.164,1.540,1.214,0.106,0.088,-0.010,0.202,1.999,0.430,5.813,2.813
114,14.795,-0.091,6.615,-0.311,-0.225,-0.441,-0.347,0.640,0.084,1.801,1.714,3.214,2.143
192,12.162,0.171,4.894,0.420,0.587,0.003,0.289,-0.301,-0.326,0.733,0.335,2.786,2.571
359,23.607,-0.053,4.123,1.010,1.496,1.643,0.737,1.347,0.424,1.492,1.506,4.059,5.824
399,11.295,-0.027,1.694,0.679,0.424,0.123,-0.313,0.270,0.015,0.563,0.067,4.950,2.850
585,5.213,0.094,1.807,0.284,-0.095,-0.188,0.089,-0.617,-0.277,-1.106,-0.528,3.500,2.250
1159,16.016,-0.049,5.881,1.187,1.345,0.068,0.230,0.702,0.134,0.374,0.572,2.786,2.786
1661,9.745,0.044,2.766,0.712,1.075,-0.214,-0.099,0.220,-0.649,0.119,-0.229,3.643,2.357
2102,26.110,-0.073,6.649,1.282,1.819,-0.127,0.276,-0.193,0.281,1.559,0.872,3.000,10.765
2543,14.979,0.094,4.225,0.349,0.210,0.472,0.297,0.308,0.981,0.304,-0.619,3.857,4.500
2576,27.040,-0.004,7.179,1.019,1.563,0.350,0.526,1.068,0.187,2.320,3.982,6.000,2.850
2945,14.836,-0.023,7.552,0.794,1.195,0.064,0.174,-0.373,0.135,-0.061,-0.193,3.000,2.571
2984,12.440,0.074,1.811,0.956,1.475,-0.506,-0.330,-0.126,0.045,0.752,0.413,2.438,5.438
3021,7.041,-0.066,4.759,0.088,0.086,-0.004,-0.072,-0.146,-0.062,0.045,-0.086,1.000,1.500
3255,17.806,-0.019,4.444,0.177,0.275,0.207,0.136,0.537,0.208,1.053,0.502,2.786,7.500
3256,12.630,-0.084,5.708,0.930,1.782,-0.221,-0.180,0.107,0.176,0.163,0.392,2.143,1.714
3328,10.289,-0.058,3.243,-0.029,-0.048,0.227,0.329,0.473,0.273,0.204,0.426,2.750,2.500
3341,16.522,-0.067,4.910,0.715,1.137,0.478,0.204,0.298,0.580,1.944,1.072,3.000,2.250
3647,25.088,0.010,5.068,2.108,3.219,-0.212,-0.256,0.360,0.858,2.694,2.711,5.684,2.842
4414,28.765,-0.081,5.503,-0.314,-0.484,2.374,2.674,1.525,1.322,1.706,1.435,5.526,7.579
4415,21.068,-0.014,6.747,0.872,1.447,0.046,0.043,-0.245,0.227,0.670,0.025,3.150,8.100
4738,12.245,0.078,1.974,0.066,-0.122,0.191,-0.104,0.029,-0.191,1.419,0.550,6.000,2.357
4984,8.843,0.120,1.012,0.535,0.540,-0.084,-0.276,-0.026,-0.044,1.191,1.624,2.250,2.000
5025,14.837,0.065,2.827,1.319,1.920,0.110,-0.032,0.591,0.221,1.616,0.701,3.000,2.500
5059,13.886,0.129,5.314,0.394,0.249,-0.084,0.013,0.468,0.021,1.312,1.069,2.000,3.000
5137,20.164,0.687,4.879,1.344,1.997,-0.194,-0.056,-0.007,-0.368,0.850,0.103,5.786,5.143
5199,11.215,-0.047,3.671,0.369,-0.349,0.434,0.042,0.444,0.009,1.243,0.257,2.786,2.357
5474,9.391,-0.063,3.055,0.236,0.128,-0.220,-0.161,-0.294,-0.324,-0.100,0.213,4.385,2.538
5526,11.964,0.022,3.966,1.301,1.926,-0.534,-0.975,-0.076,-1.092,1.040,0.229,3.947,2.211
6402,4.987,0.112,2.481,-0.815,-0.936,0.407,-0.200,0.394,0.414,0.056,-0.926,2.500,1.500
6560,14.231,-0.070,4.173,0.178,0.001,0.096,0.302,0.057,0.181,-0.578,-0.608,3.000,7.500
6918,10.734,-0.051,5.112,0.453,0.993,0.438,-0.205,0.151,-0.123,0.111,-0.144,2.250,1.750
6948,21.416,0.068,7.243,1.074,2.120,0.380,0.294,0.666,0.646,0.619,0.617,2.813,4.875
7137,9.195,-0.057,4.472,-0.349,-0.345,0.272,0.071,0.211,0.072,-0.048,0.145,3.500,1.250
7426,19.301,0.100,3.465,0.294,0.073,0.895,0.161,1.913,1.870,2.176,2.355,3.857,2.143
