Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
159,15.595,0.204,2.239,0.647,0.713,0.796,-0.016,2.057,0.400,0.676,0.378,5.400,2.100
294,24.278,-0.199,6.589,0.512,0.894,-0.082,-0.074,-0.573,-0.127,1.552,-0.015,5.400,10.400
330,34.271,-0.252,2.334,0.999,1.305,0.765,0.656,2.748,4.013,3.408,4.795,5.438,8.063
597,12.333,0.040,2.823,0.911,0.429,0.038,-0.139,-0.238,-0.754,0.753,1.159,5.063,2.250
812,10.475,0.105,-0.928,1.257,-0.989,-0.190,-0.080,0.352,0.174,1.144,-0.271,4.800,5.100
841,10.084,0.317,1.126,0.146,-0.995,0.391,-0.163,0.298,0.110,1.664,0.890,3.900,2.400
973,35.455,-0.307,7.748,1.743,3.294,-0.207,-0.244,0.980,0.773,3.058,3.969,4.412,10.235
1160,16.507,-0.006,2.874,0.569,1.290,0.530,-0.017,0.940,0.234,2.496,1.598,3.000,3.000
1515,12.985,0.591,1.812,0.991,1.730,-0.234,-0.002,0.320,-0.148,0.362,-0.053,4.154,3.462
1836,16.359,2.250,1.902,1.351,0.539,-0.117,-0.108,0.452,0.413,0.980,0.159,4.154,4.385
2493,11.785,-0.115,1.390,0.135,0.207,1.812,0.503,-0.087,-0.006,-0.095,-0.360,5.400,3.000
2496,9.971,0.124,2.417,0.246,0.418,-0.435,-0.193,1.146,1.622,-0.256,-0.818,3.900,1.800
3250,14.940,0.354,5.042,0.967,1.813,0.884,0.069,0.307,-0.015,0.388,0.330,2.800,2.000
3295,3.679,0.462,3.150,-0.034,0.098,-0.226,0.016,-0.730,-0.546,-0.946,-0.564,1.200,1.800
3309,19.341,-0.155,4.722,-0.450,-0.903,0.217,-0.052,1.071,0.668,1.867,3.956,5.200,3.200
3473,13.706,-0.634,3.395,0.782,1.037,0.165,0.072,0.983,-0.051,0.425,0.631,4.800,2.100
3759,12.068,0.222,6.417,0.092,0.186,0.139,0.025,0.208,-0.303,-0.125,0.406,3.000,1.800
3859,15.892,0.317,5.321,1.381,1.099,0.190,-0.053,-0.046,0.525,1.110,0.048,3.000,3.000
3952,12.295,0.397,1.245,1.791,1.333,0.367,0.456,0.165,0.154,1.579,-0.266,2.769,2.308
3953,8.323,0.133,2.975,-0.121,-0.075,0.077,0.105,-0.371,-0.351,-0.265,0.516,2.400,3.300
4056,6.842,-0.304,0.020,0.016,0.641,-0.045,0.154,0.285,-0.005,-0.576,-0.244,4.200,2.700
4079,17.938,0.564,0.021,1.133,1.124,0.179,0.051,0.172,-0.143,1.488,1.016,2.833,9.500
4114,7.351,0.520,0.928,1.201,0.355,-0.128,-0.024,0.503,-0.017,0.273,-0.760,1.800,2.700
4161,8.833,-0.342,1.393,0.253,-0.081,0.493,-0.081,0.772,-0.030,0.937,0.120,2.700,2.700
4201,18.242,-0.338,3.602,-0.106,0.411,-0.107,-0.068,1.276,0.631,1.628,1.313,5.500,4.500
4276,18.341,-0.169,8.208,0.440,0.926,-0.312,-0.147,0.206,0.379,-0.117,-0.407,6.000,3.333
4481,25.088,0.073,3.229,1.070,-0.008,2.226,0.497,2.188,0.781,2.732,0.700,2.600,9.000
4619,12.948,-0.526,6.250,0.649,1.787,-0.195,0.143,-0.385,-0.241,0.272,-0.503,3.000,2.700
4763,11.959,0.304,2.302,1.161,1.009,0.220,-0.064,0.496,-0.074,1.043,1.361,3.000,1.200
4913,13.110,2.130,1.894,1.690,0.822,-0.246,-0.170,-0.397,0.260,0.093,0.533,4.000,2.500
5012,13.205,0.165,2.355,0.515,0.029,-0.618,-0.172,-1.208,-0.578,1.081,1.635,6.000,4.000
5500,6.807,-0.415,1.990,0.572,0.967,0.078,0.488,-0.006,-0.608,-0.435,-0.324,2.250,2.250
5669,17.140,-0.138,3.693,1.235,2.217,0.157,0.492,-0.107,0.210,0.471,1.411,4.750,2.750
5802,22.355,-0.205,10.383,1.221,0.787,-0.467,-0.086,0.889,0.561,1.319,2.152,4.200,1.600
5805,14.816,-0.382,2.220,1.138,0.575,0.900,0.183,1.034,0.108,1.838,-0.298,4.667,2.833
5810,6.726,0.115,4.897,-0.385,-0.195,-0.050,-0.077,0.271,0.129,0.319,-0.999,0.300,2.400
5835,5.210,0.406,1.258,0.638,0.445,-0.022,-0.089,-0.663,-0.393,0.411,0.220,1.500,1.500
5851,13.012,-0.394,5.279,0.880,0.830,-0.179,-0.047,0.385,-0.077,1.445,0.254,2.727,1.909
5966,11.492,0.421,5.898,0.220,0.923,0.295,-0.150,0.744,0.153,-0.905,-1.206,2.700,2.400
6072,11.149,0.778,2.877,0.710,0.171,0.552,-0.163,0.645,-0.443,-0.172,-0.498,4.615,2.077
6220,13.842,0.124,1.405,0.311,0.895,0.640,-0.048,1.843,0.289,1.510,-0.326,5.100,2.100
6499,13.534,0.405,4.090,1.713,1.156,-0.032,0.003,-0.212,-0.131,0.150,0.693,3.000,2.700
6535,6.071,0.505,2.857,-0.045,-0.291,-0.144,-0.052,-0.736,-0.312,0.550,-0.761,2.100,2.400
6692,8.289,-0.568,2.595,0.205,-0.089,0.281,-0.028,-0.111,-0.201,0.070,-0.465,3.900,2.700
7157,10.247,0.480,0.011,0.573,0.186,0.211,-0.133,-0.324,-0.278,0.914,-0.141,4.250,4.500
7230,4.040,-0.237,2.822,-0.273,-0.893,-0.182,-0.073,-0.497,-0.644,0.458,-0.340,2.100,1.800
7447,18.952,2.536,-0.365,2.218,2.277,-0.194,-0.141,0.153,0.059,3.962,1.756,3.692,3.000
7482,8.831,-0.227,3.084,-0.344,0.344,-0.084,0.076,-0.378,-0.016,0.227,-1.052,4.200,3.000
7524,1.223,-0.175,-0.106,0.293,0.199,-0.212,0.053,-0.100,0.080,0.241,0.349,0.000,0.600
