Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
166,17.979,-0.196,-0.117,0.781,0.133,1.183,0.435,2.432,0.398,2.918,2.084,5.143,2.786
832,21.097,1.003,4.979,0.469,1.736,0.015,0.099,0.004,0.376,0.641,-0.081,2.857,9.000
1102,22.777,-0.017,3.689,0.207,0.263,0.934,0.823,1.852,1.254,1.832,2.234,5.118,4.588
1414,19.501,0.016,7.875,0.805,0.875,0.397,0.262,-0.121,-0.327,0.766,1.012,2.471,5.471
1648,13.019,-0.140,5.849,1.181,0.720,0.052,-0.049,0.219,0.469,0.368,0.149,2.600,1.600
1683,17.013,-0.019,7.576,0.841,1.342,0.366,0.103,0.489,0.286,0.104,0.354,3.643,1.929
1746,9.597,0.945,-0.993,2.138,1.023,-0.335,-0.192,-0.198,-0.335,1.854,0.405,2.714,2.571
1747,22.899,-0.265,4.414,0.482,0.725,1.996,2.546,1.879,1.708,1.559,2.457,3.000,2.400
2655,17.150,-0.112,2.224,0.680,-0.636,-0.199,0.028,0.558,0.236,2.918,3.097,3.643,4.714
3494,14.298,0.328,2.434,0.676,1.526,0.058,-0.009,-0.223,-0.003,1.751,0.472,4.714,2.571
3581,6.403,0.360,1.145,0.073,-0.340,-0.166,0.086,0.327,-0.180,1.283,-0.043,2.571,1.286
3998,11.795,0.013,2.484,1.419,1.372,0.364,0.178,0.188,-0.026,-0.024,-0.360,3.938,2.250
4112,15.107,-0.143,7.090,0.782,1.446,-0.462,-0.737,-0.071,-0.312,1.370,1.564,2.211,2.368
4188,16.536,1.047,4.201,0.759,1.340,0.514,0.264,0.376,0.170,1.785,0.080,2.857,3.143
4189,11.510,0.066,1.448,1.404,1.212,0.144,0.236,0.224,0.018,0.129,0.030,2.800,3.800
4240,4.427,-0.070,1.104,0.224,-0.636,-0.011,-0.287,-0.289,-0.136,0.626,-0.348,1.750,2.500
4509,9.352,0.149,2.646,-0.487,-0.119,-0.006,0.348,0.004,0.320,0.257,0.026,3.857,2.357
4701,13.948,-0.092,6.299,0.305,0.066,-0.149,-0.077,-0.243,0.033,0.690,-0.083,4.400,2.800
4795,15.997,0.026,3.866,0.160,0.437,-0.103,0.125,-0.083,0.026,0.740,0.202,3.000,7.600
5109,20.869,-0.085,9.110,1.044,1.893,-0.073,-0.213,-0.065,0.066,0.807,0.511,2.438,5.438
5608,2.766,-0.168,0.081,-0.697,-0.252,0.373,0.574,-0.309,-0.276,-0.003,-0.557,1.750,2.250
5651,13.235,0.303,2.544,1.834,2.068,-0.514,-0.627,-0.342,-0.315,1.897,0.386,3.353,2.647
5734,3.732,0.160,0.079,0.235,-0.148,0.067,0.161,-0.067,0.314,-0.378,0.057,2.750,0.500
6340,17.847,-0.072,7.264,1.159,2.056,0.127,-0.328,0.154,-0.267,1.341,0.813,3.000,2.600
6471,15.859,0.014,2.291,0.381,0.409,0.180,0.241,0.188,0.125,0.326,-0.295,2.813,9.188
6705,8.722,-0.010,3.446,0.914,1.077,-0.191,-0.119,-0.080,0.085,0.911,-0.541,1.846,1.385
6712,2.949,0.121,0.085,0.033,0.083,-0.155,-0.133,-0.303,-0.074,-0.197,-0.762,2.500,1.750
6750,5.592,-0.215,0.625,0.211,0.290,-0.260,-0.133,-0.172,-0.044,0.909,-0.119,3.500,1.000
6887,6.925,0.047,1.421,0.100,-0.340,0.436,0.746,0.308,-0.220,0.541,-0.863,2.750,2.000
6905,-0.684,-0.236,-0.537,0.534,-0.778,0.464,0.168,0.179,-0.113,-0.317,-0.049,0.000,0.000
6910,4.556,-0.013,-0.400,-0.594,-1.710,0.277,-0.026,0.602,0.135,0.902,0.384,2.500,2.500
6919,21.236,0.419,2.823,2.485,2.272,-0.646,-0.608,0.164,-0.234,2.498,1.714,2.550,7.800
7060,2.299,0.188,-0.687,0.069,-0.055,0.017,-0.107,0.217,-0.025,-0.354,-0.213,2.000,1.250
7104,8.138,-0.065,0.095,0.667,0.686,-0.242,-0.125,-0.178,-0.054,0.164,-0.309,4.500,3.000
7449,18.429,-0.061,5.256,0.822,1.488,0.488,0.030,0.147,-0.124,1.032,1.351,5.200,2.800
7514,8.817,0.321,1.243,1.151,0.593,-0.313,-0.162,0.129,-0.210,0.257,-0.193,3.500,2.500
7538,4.699,-0.183,1.487,0.108,0.523,0.030,0.130,0.025,0.063,0.196,0.070,0.000,2.250
7676,7.285,-0.090,0.271,0.957,-0.767,0.239,0.464,0.079,-0.045,0.090,-0.163,4.250,2.000
