Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
1573,7.464,-0.155,-0.131,2.184,1.952,-0.499,-0.321,-0.327,-0.034,0.566,-0.770,3.000,2.000
1574,14.625,0.051,0.432,-0.298,-0.786,1.166,0.710,1.708,0.165,1.162,1.814,3.000,5.500
1577,24.423,0.021,5.911,0.541,1.294,0.068,0.885,0.367,0.652,1.943,2.743,3.000,7.000
1580,7.061,0.334,3.326,0.531,-0.392,-0.279,-0.017,-0.321,-0.120,0.176,-0.177,1.500,2.500
1657,11.906,0.405,3.321,-0.581,-0.991,0.400,0.043,0.721,-0.036,0.502,0.123,6.000,2.000
1690,29.799,-0.012,0.576,-0.140,-0.585,2.900,3.360,3.066,4.900,1.361,2.872,3.000,8.500
1937,21.189,0.005,6.587,1.231,2.246,-0.087,-0.212,0.300,-0.222,1.491,0.350,2.500,7.000
2230,11.028,-0.155,3.973,-0.132,0.108,0.183,-0.186,0.195,0.088,0.541,-0.086,5.000,1.500
3034,8.368,0.042,6.266,-0.627,-1.112,0.815,0.240,-0.025,0.081,0.287,-0.598,1.000,2.000
3065,10.190,0.004,4.328,-0.932,-1.092,-0.069,0.086,0.453,0.727,1.202,0.484,2.000,3.000
3211,5.379,0.055,-2.861,-0.249,-0.514,0.794,-0.053,2.312,-0.300,1.118,0.078,3.000,2.000
4319,6.855,0.005,1.256,0.284,0.215,-0.101,0.203,0.465,0.155,0.440,-0.067,1.500,2.500
4338,22.904,0.283,5.494,1.868,2.634,0.620,0.069,-0.221,0.087,0.093,-0.024,3.000,9.000
4416,3.502,-0.023,-3.577,-0.009,0.126,-0.465,0.201,0.288,-0.053,0.605,0.909,2.500,3.000
4590,17.860,0.269,3.148,0.273,0.173,0.288,0.604,0.474,0.313,1.670,1.148,4.000,5.500
4757,3.285,0.295,-0.336,0.444,0.278,0.085,-0.198,0.606,-0.291,-0.271,-0.826,2.000,1.500
4784,4.215,0.028,-0.475,-0.344,-0.221,0.677,-0.606,0.048,0.158,1.194,1.256,0.000,2.500
5135,2.620,0.031,-1.097,0.507,-0.311,0.124,0.622,0.550,0.346,0.366,0.482,0.500,0.500
5291,7.506,-0.014,1.406,0.566,0.739,0.143,-0.067,-0.303,0.058,-1.699,-1.322,5.000,3.000
5554,17.140,-0.108,6.838,0.369,0.908,0.044,0.026,0.392,0.110,2.000,1.562,3.000,2.000
5636,4.020,-0.140,6.388,-0.338,-0.033,-0.344,-0.392,-1.079,-0.202,-1.248,-1.592,1.500,1.500
5747,13.539,-0.048,3.438,0.492,0.731,0.031,-0.954,0.193,-0.047,0.384,0.318,6.000,3.000
5987,15.554,-0.054,0.477,0.938,1.612,0.369,0.399,2.172,-0.030,2.281,1.889,3.000,2.500
6168,7.703,0.135,2.409,0.827,1.432,-0.485,0.092,-1.244,-0.032,-0.376,-0.555,3.000,2.500
6736,5.466,-0.202,2.552,0.637,0.862,0.197,-0.367,0.035,0.005,-0.390,-0.364,0.000,2.500
6740,1.447,0.165,0.765,0.427,0.365,-0.538,-0.588,-0.296,-1.046,-1.296,-1.010,3.000,1.500
6741,7.675,-0.228,-0.335,0.484,0.484,0.215,-0.618,2.976,-0.410,0.422,-0.315,2.500,2.500
7039,20.237,-0.155,5.020,1.283,1.896,0.358,-0.200,1.236,0.005,1.729,1.564,3.000,4.500
7067,8.086,-0.176,1.766,0.847,0.776,-0.084,-0.158,-0.424,-0.034,0.848,0.725,3.000,1.000
7112,3.072,0.003,-1.265,0.531,-0.612,0.267,0.257,-0.170,0.153,0.371,0.037,2.000,1.500
7554,2.215,0.005,-0.099,-0.614,-0.680,-0.126,0.638,-0.479,0.354,0.865,-0.149,0.000,2.500
