Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
280,7.604,-0.277,0.230,0.359,-0.281,0.279,0.413,0.066,0.214,0.355,-0.256,4.500,2.000
548,23.497,0.201,-0.735,0.571,1.192,1.765,1.535,2.212,1.394,3.050,3.135,5.647,3.529
703,10.061,0.033,1.539,0.513,0.573,0.990,0.868,0.189,-0.290,0.397,0.536,2.786,1.929
815,8.517,0.889,0.230,0.661,-0.353,0.027,-0.438,0.013,0.165,1.467,0.284,3.000,2.571
1023,26.804,0.010,2.462,2.115,2.857,-0.383,-0.425,0.373,0.348,2.896,3.550,2.833,10.167
1250,19.785,0.102,6.427,0.912,0.675,0.561,0.792,0.369,0.453,0.651,0.058,5.357,3.429
1481,25.245,-0.166,6.573,1.344,1.612,-0.352,0.240,0.458,-0.275,1.371,0.192,5.063,9.188
1528,8.315,0.475,1.448,0.173,0.327,0.026,-0.249,0.776,0.015,0.512,-0.116,3.000,1.929
1701,5.639,-0.058,-0.474,-0.472,-0.209,-0.042,0.341,0.028,0.179,0.160,-0.313,4.000,2.500
1718,28.921,-0.087,3.261,0.295,-0.102,1.465,1.865,3.328,4.664,2.744,3.821,5.833,1.833
2620,11.898,-0.172,-0.165,0.729,0.553,0.170,0.359,-0.339,0.181,0.448,0.634,5.250,4.250
3536,18.033,-0.158,7.986,0.392,-0.032,-0.124,-0.034,1.350,0.094,0.158,-0.169,4.286,4.286
3547,19.327,-0.104,1.110,0.430,0.768,0.329,0.194,1.223,0.512,1.091,0.916,4.500,8.357
3604,27.308,-0.124,7.446,0.262,0.213,0.169,-0.440,0.951,-0.166,2.209,2.894,3.632,10.263
3641,18.714,0.173,1.831,-0.482,-1.021,0.896,0.858,2.402,2.594,1.910,4.186,2.684,2.684
3655,25.798,-0.033,5.336,2.118,2.296,-0.027,0.152,-0.210,-0.399,1.532,1.090,4.412,9.529
4384,9.088,0.058,1.621,1.172,0.951,0.129,0.025,-0.104,0.342,0.470,-0.326,3.000,1.750
4568,18.807,0.078,8.022,0.997,1.236,0.467,0.717,0.555,-0.367,1.204,0.969,3.000,1.929
4838,6.784,-0.052,1.739,0.686,0.667,-0.145,-0.270,0.071,-0.336,-0.856,0.030,3.000,2.250
4840,4.045,-0.139,2.278,-0.085,-0.526,0.020,0.158,-0.036,-0.524,-0.084,-0.019,0.529,2.471
5067,14.830,-0.004,5.227,0.107,0.203,0.278,0.395,0.113,-0.190,1.306,0.145,4.500,2.750
5090,16.793,-0.189,3.471,1.053,1.199,0.680,-0.023,0.877,-0.028,0.654,0.099,5.500,3.500
5197,8.143,0.311,0.738,-0.025,0.233,0.306,-0.202,1.235,-0.113,0.666,-0.362,3.000,2.357
5263,11.098,0.453,4.402,0.559,0.238,0.070,-0.329,-0.252,0.027,0.715,-1.284,4.000,2.500
5498,14.789,-0.024,3.113,0.336,0.799,0.078,-0.394,0.258,-0.086,1.703,0.863,4.929,3.214
5853,11.877,-0.190,6.595,-0.315,0.055,-0.551,-0.607,-0.528,-0.622,0.882,0.730,4.071,2.357
5901,14.654,-0.153,4.140,1.109,1.480,0.464,-0.376,0.389,0.610,0.909,-0.234,4.421,1.895
6029,11.107,0.551,1.149,1.506,0.988,-0.099,0.372,0.004,-0.069,1.652,0.053,2.500,2.500
6081,19.467,0.153,6.532,0.100,0.340,-0.432,-0.615,1.492,0.254,1.775,1.536,4.667,3.667
6190,9.647,-0.018,0.119,0.570,0.536,0.257,0.475,0.288,0.731,-0.318,0.007,4.500,2.500
6528,19.617,0.158,6.099,1.808,2.927,0.131,-0.093,-0.227,0.020,1.289,0.648,4.500,2.357
6570,21.508,-0.030,1.797,0.432,0.498,1.639,0.034,1.080,-0.248,3.305,1.938,5.250,5.813
6618,18.908,0.025,5.186,0.847,1.435,-0.188,-0.061,0.933,0.848,1.625,2.822,3.000,2.438
7143,5.645,-0.218,3.129,-0.369,-0.655,-0.450,-0.204,-0.165,-0.301,0.118,0.512,2.000,2.250
7196,15.721,0.169,7.056,0.369,0.980,-0.232,-0.259,0.342,-0.095,0.239,-1.098,5.500,2.750
7788,8.819,0.316,3.081,0.235,0.455,-0.263,-0.100,-0.654,-0.143,-0.551,-0.807,5.500,1.750
7789,12.731,-0.235,4.805,0.490,0.827,0.408,-0.328,0.118,0.069,-0.094,-0.581,5.000,2.250
7807,18.379,1.573,1.371,1.609,1.655,0.289,0.720,-0.133,0.123,1.797,-0.482,5.357,4.500
7856,8.083,-0.091,2.015,0.035,-0.624,-0.196,-0.042,-0.014,0.565,1.382,0.303,3.000,1.750
7865,5.618,-0.165,-0.722,-0.294,-0.044,0.187,0.237,0.233,0.407,0.176,-0.649,3.750,2.500
