Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
27,27.912,-0.061,6.645,0.951,1.168,0.169,-0.058,1.566,1.697,0.841,0.626,3.000,11.368
70,6.424,0.253,0.290,0.351,0.178,-0.118,-0.009,-0.394,-0.188,0.415,-0.355,3.000,3.000
245,22.569,0.546,6.075,1.436,1.923,0.410,-0.087,1.016,-0.063,2.180,0.434,6.000,2.700
468,8.973,-0.136,1.029,0.754,0.946,0.096,-0.064,0.697,-0.245,-0.025,-0.330,3.750,2.500
1322,15.436,0.156,2.040,-0.040,0.324,0.187,0.243,0.350,0.550,1.394,1.446,4.929,3.857
1506,21.652,0.217,4.838,0.708,1.341,0.120,-0.008,0.520,0.206,2.226,1.545,3.000,6.938
2145,16.692,-0.396,7.463,0.029,0.336,-0.182,-0.004,0.195,0.468,1.099,2.212,3.000,2.471
2612,11.649,0.423,0.910,0.771,1.041,0.673,0.221,0.413,0.126,0.000,-0.215,4.500,2.786
3535,20.503,0.005,6.677,0.511,1.248,0.057,-0.137,0.375,0.238,1.079,1.049,4.400,5.000
3542,25.813,-0.233,9.746,1.882,3.473,-0.150,-0.016,0.691,0.747,2.038,2.108,3.000,2.526
3568,13.232,1.744,2.034,2.274,2.140,-0.013,-0.095,0.073,-0.119,0.365,0.116,2.571,2.143
4994,9.576,-0.430,4.768,0.762,0.956,-0.459,0.014,-0.806,-0.230,-0.405,-0.193,3.000,2.600
5084,20.977,-0.158,5.219,1.352,2.224,-0.118,-0.050,0.127,-0.173,2.154,0.871,3.176,6.353
5086,10.133,0.364,5.484,-0.110,0.010,0.077,-0.004,-0.330,0.080,-0.288,0.162,2.813,1.875
5114,24.240,0.737,10.365,0.251,0.707,0.428,-0.072,0.662,0.088,2.081,0.193,5.800,3.000
5150,13.741,0.150,0.824,0.955,0.886,0.182,0.048,1.072,1.028,0.159,-0.879,5.684,3.632
5215,6.250,-0.007,1.243,0.951,0.937,-0.281,-0.002,-0.502,-0.211,0.761,-0.711,2.143,1.929
5234,15.932,0.166,4.255,0.362,0.706,0.247,0.655,0.589,-0.173,1.177,0.550,4.400,3.000
5260,13.672,-0.047,0.601,0.263,0.360,1.835,-0.115,2.246,0.296,1.756,1.549,2.786,2.143
5527,4.661,-0.144,3.763,0.025,-0.543,0.044,-0.078,-0.118,-0.257,-0.728,-0.803,2.250,1.250
5533,6.318,-0.210,3.285,0.124,-0.188,0.066,-0.063,0.185,0.297,-0.722,-0.456,1.500,2.500
5538,7.747,0.784,-0.140,1.428,0.141,-0.296,-0.019,-0.215,-0.275,-0.099,0.187,4.500,1.750
5561,20.567,0.311,2.172,0.836,1.169,-0.001,-0.020,1.085,0.059,0.049,-0.467,5.063,10.313
5562,11.221,0.252,3.174,0.081,0.065,-0.154,-0.052,0.020,-0.234,0.171,0.146,4.750,3.000
5612,17.631,-0.347,8.331,0.095,0.173,-0.166,-0.055,-0.213,0.053,1.903,1.428,3.643,2.786
5641,16.146,-0.022,0.451,1.131,1.036,0.244,0.055,0.269,0.082,0.234,0.266,3.000,9.400
5697,7.145,0.092,1.434,0.167,-0.079,0.171,-0.128,0.201,-0.166,0.696,0.007,2.500,2.250
5774,4.605,-0.301,0.907,-0.038,-0.607,-0.237,0.043,-0.309,-0.020,0.562,-0.145,3.000,1.750
6019,8.996,0.091,2.968,1.116,0.768,-0.023,-0.156,-0.213,-0.229,0.278,0.597,1.000,2.800
6086,12.822,0.264,3.708,0.480,0.712,0.253,-0.003,0.519,-0.064,-0.365,-0.181,5.000,2.500
6091,8.626,0.321,2.320,0.484,0.367,0.400,-0.004,0.401,-0.145,0.041,-0.310,3.000,1.750
6102,4.329,-0.115,0.321,0.789,0.729,0.482,0.474,-0.203,-0.117,0.263,-0.043,0.000,1.750
6548,7.631,-0.034,0.421,0.691,0.738,-0.319,0.019,0.048,0.062,-0.082,-0.214,3.450,2.850
6595,11.412,0.229,0.388,1.769,1.134,0.072,-0.099,0.251,-0.058,0.774,-0.049,4.250,2.750
6597,9.375,-0.219,2.661,0.216,-0.112,0.775,0.489,0.813,0.323,0.341,-0.912,2.500,2.500
6610,6.818,-0.093,2.322,-0.434,-0.563,-0.097,-0.042,-0.428,-0.155,-0.209,0.018,4.000,2.500
7491,26.673,-0.216,10.607,1.447,1.940,0.109,-0.022,0.647,-0.031,1.708,1.634,6.000,2.850
7501,13.600,1.145,1.004,1.879,2.661,0.024,0.027,-0.308,-0.174,1.264,0.254,3.000,2.824
7772,3.430,-0.199,-0.231,0.430,-0.596,-0.250,-0.103,-0.066,0.217,0.439,0.038,2.250,1.500
7818,8.546,-0.329,0.918,0.356,-0.343,-0.121,0.005,0.113,-0.270,0.478,0.239,5.000,2.500
