Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
33,29.736,-0.264,-0.488,0.436,0.921,1.706,0.383,3.146,1.178,3.155,3.563,6.000,10.000
94,12.899,1.896,-0.233,1.960,1.113,-0.310,-0.080,0.100,-0.055,0.655,0.353,3.667,3.833
123,17.288,-0.267,4.542,0.346,0.639,-0.009,-0.015,0.223,-0.066,-0.148,0.469,5.786,5.786
201,12.614,-0.081,4.580,0.167,0.251,0.040,-0.006,0.438,0.428,0.227,0.142,2.786,3.643
573,17.635,1.246,1.036,2.466,2.364,0.229,-0.109,0.119,-0.154,1.811,0.077,5.850,2.700
835,7.841,0.123,-0.032,0.455,0.721,0.078,0.045,0.134,-0.016,-0.213,0.295,4.000,2.250
1188,18.905,0.798,3.698,2.130,2.318,0.242,0.428,0.036,0.263,1.012,0.292,4.875,2.813
2048,15.370,0.531,4.532,0.411,0.118,0.100,-0.052,0.289,-0.150,-0.359,0.736,4.929,4.286
2224,10.791,0.390,2.048,0.582,-0.025,-0.150,-0.061,0.865,0.384,0.579,-0.196,4.125,2.250
2673,9.202,1.675,-0.994,0.705,1.029,0.034,-0.025,-0.397,-0.006,0.369,0.312,3.000,3.500
2834,17.880,1.058,2.447,0.327,0.426,0.036,0.218,-0.025,0.074,0.874,0.268,5.647,6.529
3414,19.029,-0.481,8.334,0.984,1.282,-0.007,0.073,0.137,0.111,1.355,0.171,4.500,2.571
3538,31.458,-0.825,9.926,1.367,2.800,-0.349,-0.150,0.097,-0.147,2.398,0.843,6.000,9.500
4377,12.704,0.613,0.483,0.823,0.221,0.335,0.438,0.810,0.347,0.563,0.357,5.571,2.143
4680,24.556,-0.106,5.843,0.668,1.279,-0.066,0.063,-0.010,0.116,0.861,0.158,5.250,10.500
4737,16.518,-0.109,5.389,0.536,1.517,0.077,-0.165,0.415,-0.341,0.862,0.648,4.875,2.813
4851,7.869,0.718,-0.163,0.972,0.229,-0.051,-0.108,0.976,-0.094,1.008,-0.118,2.250,2.250
4854,7.965,-0.172,1.637,0.038,-0.175,0.129,-0.081,0.092,-0.088,0.402,-0.317,4.500,2.000
5048,9.840,-0.025,-0.261,-0.328,-0.429,1.230,-0.018,1.652,-0.106,2.285,0.484,3.857,1.500
5436,26.617,0.722,4.843,2.376,3.773,0.913,0.730,0.496,1.165,1.458,1.847,3.176,5.118
5467,10.749,-0.301,2.286,0.760,0.876,0.230,-0.049,0.554,-0.206,0.456,-0.608,4.000,2.750
5478,8.690,0.815,1.547,0.522,0.208,-0.274,-0.315,-0.512,-0.448,0.208,-1.002,5.824,2.118
5531,12.405,-0.174,6.632,0.106,0.432,-0.019,0.016,-0.106,-0.054,0.527,0.093,2.850,2.100
5532,6.250,0.592,0.985,1.044,0.256,-0.046,-0.007,-0.170,0.199,-0.289,-0.064,2.000,1.750
5619,6.230,0.776,1.319,0.246,-0.133,-0.221,-0.082,-0.102,-0.140,-0.794,-0.389,3.500,2.250
5756,11.086,0.271,5.443,0.121,0.203,0.029,0.104,-0.052,0.068,-0.093,0.390,3.000,1.600
6013,6.406,0.206,0.410,0.467,-0.180,-0.049,-0.041,0.237,-0.142,0.631,-0.383,2.750,2.500
6093,7.039,0.359,-2.568,0.321,-0.364,0.231,-0.003,1.066,-0.077,0.916,-0.092,5.000,2.250
6117,15.255,-0.075,7.270,0.046,0.265,0.017,-0.026,-0.023,-0.130,0.140,-0.229,6.000,2.000
6545,5.597,-0.672,1.559,0.741,0.089,-0.240,-0.017,-0.003,-0.142,0.449,0.083,1.750,2.000
6567,12.068,-0.116,5.801,0.494,0.335,0.179,0.019,0.137,-0.084,0.004,-0.488,3.429,2.357
6616,12.576,0.020,5.011,0.975,0.866,-0.011,-0.136,0.021,-0.193,0.185,-0.162,3.000,3.000
6742,20.798,1.997,0.400,2.086,2.308,0.109,0.004,0.329,0.187,3.000,0.179,5.600,4.600
7073,7.170,0.161,-0.092,-0.461,0.107,-0.076,-0.120,-0.066,-0.229,-0.011,-0.295,5.500,2.750
7191,7.522,0.026,-1.347,0.206,-0.001,0.046,-0.049,-0.265,-0.131,0.595,0.692,5.500,2.250
7218,6.769,0.433,0.898,0.424,0.717,0.134,-0.073,0.262,0.443,0.777,0.004,1.500,1.250
7232,5.584,-0.410,2.801,0.570,-0.200,0.099,-0.042,-0.012,-0.091,0.021,0.099,1.000,1.750
7692,8.767,0.358,0.954,0.810,0.291,-0.101,-0.007,-0.466,-0.063,0.809,-0.247,3.857,2.571
7716,4.019,-0.139,0.751,-0.138,0.086,-0.110,-0.089,0.167,-0.205,0.226,-0.282,2.250,1.500
7857,5.884,-0.196,1.080,0.091,-0.066,-0.255,-0.051,-0.123,0.418,0.062,0.176,2.000,2.750
