Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
88,24.636,-0.200,10.065,0.467,0.788,-0.339,-0.102,0.675,0.721,1.924,2.111,5.842,2.684
95,20.787,0.190,2.688,-0.168,-0.088,0.783,-0.081,2.249,1.833,3.005,2.082,5.294,3.000
131,15.095,-0.450,7.468,1.092,1.944,0.139,-0.077,0.206,0.264,-0.193,0.202,3.000,1.500
348,8.847,-0.030,2.663,0.810,1.023,-0.149,-0.088,-0.138,0.062,-0.252,-0.305,2.750,2.500
467,9.420,-0.045,1.278,0.782,0.185,0.086,-0.024,-0.171,-0.107,1.617,0.248,2.571,3.000
663,9.746,0.189,3.638,0.786,1.095,-0.031,-0.128,-0.746,-0.301,-0.092,0.193,2.357,2.786
811,15.085,0.634,1.801,0.790,1.091,1.009,-0.213,1.448,0.163,2.141,1.507,2.786,1.929
1247,8.195,0.138,2.665,0.096,-0.108,0.001,-0.208,0.141,0.301,-0.883,-0.198,3.500,2.750
1277,10.762,0.248,1.091,1.399,1.065,0.219,0.011,-0.309,-0.340,1.955,-0.420,3.789,2.053
1512,3.261,-0.302,-0.427,0.410,0.015,-0.080,-0.074,-0.192,-0.125,-0.146,-0.319,3.000,1.500
1519,30.526,0.258,6.843,0.941,1.598,0.121,0.105,-0.129,0.330,1.363,1.763,6.000,11.333
1721,11.508,0.024,0.185,0.652,-0.603,0.771,-0.054,2.213,0.278,2.362,0.966,2.357,2.357
1729,19.375,0.031,5.856,0.767,0.887,0.631,0.580,0.272,0.011,0.315,0.168,3.857,6.000
1831,4.913,-0.067,1.670,0.437,-0.272,-0.276,-0.291,-0.059,-0.407,-0.024,-0.797,3.000,2.000
2084,10.490,-0.261,5.432,0.780,0.235,-0.117,-0.537,0.589,0.101,0.093,-0.238,3.000,1.412
3467,10.794,-0.242,5.332,0.489,0.471,0.236,0.015,-0.205,-0.437,0.247,-0.254,3.000,2.143
3566,7.410,0.540,0.029,0.059,-0.368,-0.032,-0.141,0.609,0.219,1.105,0.389,2.750,2.250
3958,17.349,2.930,0.439,2.337,2.244,0.129,0.433,0.205,-0.230,2.873,1.061,2.786,2.143
4564,17.992,-0.128,5.436,1.542,2.566,0.736,0.395,0.259,0.421,-0.065,0.402,3.857,2.571
4761,19.973,0.434,0.438,1.222,2.355,0.519,0.024,0.392,0.166,1.163,2.049,2.684,8.526
4905,15.218,-0.158,6.979,0.845,1.366,-0.077,-0.217,-0.063,0.191,0.770,0.145,2.625,2.813
4929,14.893,0.056,4.631,0.456,0.566,-0.059,0.158,0.165,-0.078,0.401,0.239,2.571,5.786
4958,8.602,0.222,1.494,0.406,1.173,-0.082,-0.116,0.367,0.334,0.517,-0.641,2.143,2.786
4987,12.960,-0.298,2.653,0.446,1.193,-0.238,-0.120,1.086,-0.156,0.514,0.381,5.000,2.500
5265,6.060,0.214,1.967,0.297,0.172,0.111,-0.069,0.111,-0.064,0.053,0.019,1.750,1.500
5633,8.447,0.290,2.407,0.805,0.329,-0.432,-0.292,-0.665,-0.083,-0.240,-0.172,4.000,2.500
5687,25.436,-0.126,6.061,0.331,0.745,0.359,0.335,1.384,0.640,1.665,1.875,4.000,8.167
5902,13.750,-0.246,1.992,0.794,1.023,-0.148,-0.116,-0.209,-0.302,0.914,0.673,5.625,3.750
6328,11.098,0.658,-1.330,1.303,0.339,0.459,0.364,0.065,0.299,1.805,-0.116,4.500,2.750
6329,21.678,-0.115,4.539,0.446,0.522,1.716,1.347,2.863,3.099,0.803,1.165,3.000,2.294
6690,1.992,-0.029,-0.108,0.191,0.329,0.160,-0.055,0.041,-0.181,-0.114,-0.742,1.750,0.750
6691,16.884,0.092,0.630,2.159,2.337,0.360,0.804,0.895,0.138,3.288,1.305,2.063,2.813
6895,9.413,0.248,0.973,0.612,1.500,0.053,0.379,-0.419,0.258,-0.207,-0.233,5.000,1.250
7416,15.087,1.155,1.027,2.387,2.195,-0.357,-0.250,-0.563,-0.552,3.374,0.837,3.000,2.833
7907,5.196,0.055,2.832,0.271,-0.519,-0.330,0.032,-0.322,-0.132,0.047,-0.594,2.143,1.714
7913,7.025,-0.032,2.728,0.325,0.179,-0.220,-0.160,-0.366,0.000,0.281,0.039,2.000,2.250
