Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
188,20.140,-0.650,2.672,1.161,1.532,2.087,2.098,1.818,1.686,0.970,1.195,3.429,2.143
610,24.924,-0.359,4.599,0.755,1.130,0.755,1.071,1.870,1.520,1.673,1.409,4.167,6.333
2200,31.542,-0.151,7.035,2.314,3.316,-0.005,0.076,0.129,-0.017,2.011,2.335,3.000,11.500
2386,25.460,-0.189,6.206,0.326,-0.085,0.500,0.313,0.223,-0.073,0.945,1.095,5.600,10.600
2708,8.213,0.185,-0.428,0.469,0.632,0.059,-0.164,0.207,0.280,1.186,0.037,3.500,2.250
2852,16.178,0.098,1.165,0.172,-0.006,0.255,0.037,1.998,0.087,2.744,1.272,5.786,2.571
2994,17.721,0.267,1.970,0.889,0.605,0.189,-0.139,0.275,0.059,0.515,-0.145,5.471,7.765
3571,4.958,-0.224,1.001,0.361,0.045,0.103,0.053,0.030,0.457,-0.133,0.266,2.500,0.500
4015,10.511,0.314,5.346,0.493,0.180,-0.347,-0.191,-0.188,-0.090,0.421,0.075,2.000,2.500
4152,21.183,1.890,0.468,1.444,1.572,0.376,-0.240,0.895,0.155,2.596,1.440,5.647,4.941
4476,20.529,-0.349,7.019,0.733,1.739,0.567,-0.091,0.496,0.180,1.414,1.399,4.579,2.842
4519,13.910,-0.026,6.213,0.120,0.289,0.408,0.474,0.189,-0.136,-0.611,-0.599,4.941,2.647
4525,12.008,-0.260,1.976,1.161,0.889,-0.448,-0.237,-0.148,-0.336,1.559,0.114,4.105,3.632
4704,10.165,0.163,1.686,1.122,1.555,-0.267,-0.148,-0.209,-0.147,0.544,0.617,2.750,2.500
4783,11.434,0.399,3.183,0.466,0.194,-0.387,-0.495,-0.144,-0.624,0.741,-0.065,5.500,2.667
4907,19.662,0.370,2.015,0.801,1.542,0.500,0.693,1.286,-0.257,0.129,-0.476,3.000,10.059
4936,22.114,1.214,4.275,1.586,2.008,0.167,-0.010,0.331,-0.192,2.889,1.488,5.357,3.000
4946,20.873,0.033,2.992,1.333,2.182,0.757,0.769,0.530,0.007,2.730,3.139,3.000,3.400
4951,18.253,0.051,7.694,0.456,0.824,0.332,0.120,0.294,-0.009,-0.053,-0.029,5.571,3.000
5036,16.986,-0.386,8.580,1.231,2.052,0.052,0.081,0.248,-0.308,0.265,-0.185,3.000,2.357
5409,11.716,-0.113,3.833,0.754,0.572,0.021,-0.117,-0.087,0.445,-0.069,0.049,4.500,1.929
5426,11.146,0.263,1.869,-0.117,0.258,-0.426,-0.313,-0.187,-0.405,2.164,0.539,5.500,2.000
5885,25.673,3.473,0.333,1.799,2.820,-0.373,-0.543,-0.470,-0.384,2.334,0.613,5.357,10.714
6070,10.239,0.311,1.625,0.806,1.251,-0.183,-0.226,0.565,-0.330,0.665,-0.495,4.250,2.000
6110,13.309,0.303,2.615,1.697,2.364,-0.167,-0.375,0.066,0.362,1.100,0.344,2.600,2.400
6135,21.409,0.117,5.881,1.320,2.195,-0.313,-0.230,-0.379,-0.186,1.967,2.210,5.294,3.529
6514,5.437,-0.162,-0.531,0.363,-0.010,0.207,-0.223,0.353,-0.178,0.082,-0.214,3.750,2.000
6859,9.444,0.295,1.673,0.031,0.611,0.160,0.013,0.217,0.078,-0.295,0.411,4.250,2.000
6864,11.134,-0.085,4.304,0.719,0.226,-0.414,-0.265,-0.415,0.200,-0.020,-0.367,4.250,3.000
6866,15.650,-0.205,4.739,0.762,1.280,0.344,0.583,0.159,0.021,-0.486,-0.296,6.000,2.750
6867,18.280,3.909,-1.890,1.926,0.845,-0.123,0.114,-0.277,-0.028,2.145,0.449,6.000,5.211
6975,6.823,0.263,2.401,-0.266,-0.245,0.432,0.309,-0.021,0.115,0.350,-0.515,2.000,2.000
6987,12.399,0.122,6.064,-0.242,-0.057,0.096,0.201,0.079,0.083,0.060,-0.435,3.643,2.786
7267,15.010,0.210,7.311,0.150,0.221,-0.426,-0.179,-0.020,-0.222,1.427,0.110,4.714,1.714
7564,6.902,-0.291,-2.026,0.231,0.158,-0.111,0.192,-0.155,0.235,0.779,0.391,5.250,2.250
7614,8.941,0.311,4.397,-0.428,-0.670,0.154,0.400,0.475,-0.030,-0.021,-0.397,2.750,2.000
7690,3.189,1.558,-2.374,-0.732,-1.433,0.873,0.798,0.374,0.740,-0.642,-0.723,3.250,1.500
7710,9.760,0.320,0.120,0.992,0.633,0.154,-0.047,-0.026,0.414,0.829,-0.629,4.750,2.250
7712,7.025,0.740,2.492,0.592,0.846,-0.292,-0.231,-0.493,-0.105,0.439,-0.463,1.750,1.750
7735,12.857,-0.278,4.665,1.056,1.046,-0.167,-0.227,-0.378,-0.015,-0.053,-0.024,4.765,2.471
