Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
103,23.288,0.035,5.882,1.141,1.763,0.436,0.141,0.479,0.529,0.342,-0.061,3.000,9.600
203,17.749,-0.195,5.195,0.891,1.639,0.497,0.176,0.928,1.046,0.125,0.161,4.929,2.357
293,8.028,-0.018,1.971,0.770,0.476,-0.092,0.064,-0.158,0.060,0.162,-0.208,3.000,2.000
319,19.447,-0.053,6.095,1.620,2.375,0.240,-0.187,0.667,0.174,0.986,1.000,3.000,3.529
708,13.628,-0.103,2.986,0.096,0.408,-0.193,-0.065,-0.243,-0.063,0.805,0.333,4.500,5.167
709,24.614,-0.242,6.752,0.857,1.642,0.033,-0.065,-0.292,-0.055,0.860,0.338,6.000,8.786
816,9.776,-0.079,3.545,0.303,0.585,-0.165,-0.151,-0.222,-0.322,0.317,0.143,3.529,2.294
1143,9.226,0.739,2.277,0.896,0.850,-0.228,-0.106,-0.335,-0.215,0.007,0.091,2.750,2.500
1218,17.243,-0.071,1.140,0.701,1.092,0.216,-0.116,1.205,0.886,1.940,0.179,5.143,4.929
1391,12.235,0.027,5.446,0.248,0.541,0.072,0.053,0.388,0.337,0.291,0.118,2.571,2.143
1647,8.030,0.159,2.261,-0.332,-0.306,-0.221,-0.052,0.026,-0.362,1.222,0.278,3.000,2.357
1807,24.241,0.837,4.406,2.000,2.892,-0.231,-0.167,0.368,-0.091,2.711,2.816,3.000,5.700
2095,8.273,0.751,-0.705,0.752,0.267,-0.012,-0.006,0.382,0.235,0.355,-0.247,3.250,3.250
2234,8.681,-0.006,4.302,0.543,-0.064,-0.147,-0.057,-0.052,-0.127,-0.086,-0.875,2.500,2.750
2458,6.478,-0.132,1.592,0.441,-0.042,-0.107,-0.093,-0.255,-0.119,0.438,-0.244,3.250,1.750
2539,23.499,-0.439,1.018,0.622,1.025,0.844,0.597,1.104,0.266,2.162,2.499,2.850,10.950
2559,14.880,-0.068,4.596,0.751,1.177,-0.396,-0.251,-0.413,-0.187,0.993,0.428,5.850,2.400
2607,20.330,-0.115,6.694,0.874,0.982,0.267,-0.080,0.803,0.537,0.904,0.632,6.000,2.833
3929,8.500,0.154,0.191,0.065,0.542,0.326,-0.029,0.930,0.258,0.292,0.521,2.500,2.750
3974,16.550,-0.073,1.889,0.782,0.777,-0.111,0.001,0.355,-0.264,0.754,0.014,3.214,9.214
4285,11.907,-0.059,4.934,0.378,0.429,0.085,-0.091,-0.138,0.030,-0.183,-0.337,4.714,2.143
4373,14.410,0.335,5.079,0.562,0.373,0.724,0.243,0.310,0.109,0.556,0.368,3.000,2.750
4454,16.858,0.369,4.197,0.697,0.909,-0.074,-0.046,-0.574,-0.170,0.784,1.017,5.100,4.650
4652,9.099,0.201,0.573,0.168,-0.473,-0.120,-0.017,-0.007,-0.223,0.917,-0.319,5.400,3.000
5181,20.094,0.050,6.400,1.880,2.353,0.058,0.191,-0.173,-0.299,1.211,0.089,6.000,2.333
5401,21.258,0.220,4.821,1.355,1.831,0.173,-0.040,0.100,0.014,1.575,1.609,5.550,4.050
5457,10.521,0.227,4.179,0.350,0.585,0.033,-0.042,0.357,-0.135,-0.328,0.294,2.500,2.500
5666,11.382,0.078,0.418,-0.168,-0.024,0.212,0.463,0.869,0.356,1.411,0.266,4.929,2.571
5684,20.357,-0.451,8.035,1.270,1.881,0.032,0.053,0.967,0.097,1.884,1.040,2.850,2.700
5895,24.377,0.648,6.257,2.127,3.162,-0.129,-0.026,0.246,-0.210,1.744,0.558,5.000,5.000
6226,24.429,0.119,3.672,0.788,0.675,0.456,0.613,0.523,0.488,2.255,2.133,3.000,9.706
6808,7.822,0.468,3.825,-0.023,-0.346,-0.177,-0.109,-0.005,-0.136,-0.162,-0.015,2.000,2.500
6921,8.817,-0.145,3.313,0.365,0.595,0.228,0.008,0.081,0.089,0.461,-0.677,2.500,2.000
6943,4.284,0.320,1.382,0.005,-0.702,-0.131,0.027,-0.289,-0.080,-0.525,0.279,2.750,1.250
7414,12.800,0.109,2.481,0.821,0.378,-0.082,-0.130,1.599,-0.203,2.556,-0.514,3.000,2.786
