Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
21,12.869,-0.205,3.399,0.474,0.053,0.496,0.106,-0.218,-0.370,0.215,-1.080,4.667,5.333
86,26.078,0.424,0.827,0.339,0.299,1.163,0.430,2.979,2.647,3.135,3.763,3.000,7.071
108,20.928,0.201,3.090,1.104,1.748,0.128,0.218,-0.339,0.113,2.996,1.669,3.000,7.000
263,17.814,-0.278,2.802,0.287,0.667,0.768,0.630,0.650,0.634,1.239,2.165,5.250,3.000
281,19.123,0.859,3.408,1.113,1.591,-0.223,-0.066,-0.046,-0.224,1.625,1.487,3.000,6.600
283,6.986,-0.310,1.844,0.604,0.623,0.894,1.136,-0.569,-0.277,-0.260,-1.699,2.667,2.333
342,18.469,-0.337,6.524,-0.443,0.102,0.678,0.320,0.967,0.705,1.993,1.959,3.000,3.000
379,25.979,-0.273,8.110,1.538,2.893,0.486,0.513,0.250,-0.149,0.447,0.664,3.000,8.500
900,7.296,0.098,-0.068,0.817,1.285,0.803,0.610,-0.602,-0.513,0.339,-0.471,2.667,2.333
1051,17.051,0.433,3.221,0.693,0.924,-0.553,-0.163,1.085,1.542,0.249,-0.880,3.000,7.500
1287,18.051,-0.249,6.492,0.857,0.703,0.295,-0.191,0.524,0.101,-0.027,0.547,6.000,3.000
1293,21.158,0.087,7.238,1.844,1.880,-0.428,-0.266,0.087,1.137,0.597,0.799,5.455,2.727
1369,13.591,-0.355,3.021,1.376,1.701,0.072,-0.136,0.766,0.347,-0.849,-1.053,4.800,3.900
1398,7.247,0.239,1.159,0.943,1.157,-0.221,-0.261,0.247,-0.357,0.063,-0.387,2.333,2.333
1539,13.593,-0.294,3.394,0.582,0.243,0.364,-0.015,1.001,0.160,0.640,0.517,5.000,2.000
1553,11.710,-0.248,4.691,0.399,0.767,1.147,0.800,-0.160,-0.388,-0.923,-0.375,3.000,3.000
1758,-0.740,0.464,0.534,-0.454,-0.964,-0.065,-0.089,-0.260,0.052,-1.356,-0.935,1.333,1.000
1902,24.062,-0.898,6.782,1.339,2.086,0.252,0.179,-0.249,-0.342,3.318,3.451,5.786,2.357
2187,8.822,-0.038,3.540,0.512,0.216,0.106,-0.144,0.136,0.364,-0.466,-0.737,2.333,3.000
2393,21.395,-0.441,0.154,0.434,0.414,0.003,0.151,2.109,1.850,2.020,3.246,3.000,8.455
2614,17.450,0.167,5.397,-0.216,-0.829,0.012,-0.245,0.918,0.642,1.432,2.506,3.000,4.667
2815,10.686,0.377,2.287,1.364,0.436,0.420,0.043,0.550,-0.163,0.852,-0.480,2.667,2.333
3140,11.538,0.196,2.749,0.242,-0.047,0.410,0.077,0.387,0.172,0.402,1.283,3.333,2.333
3489,9.979,-0.258,1.859,-0.784,-0.595,1.387,0.895,0.933,0.283,0.646,0.612,3.000,2.000
