Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
2905,13.658,-0.012,5.629,0.514,0.393,0.358,-0.011,0.365,0.157,-0.226,-0.432,4.385,2.538
3646,9.274,-0.016,3.624,0.637,1.216,-0.242,-0.041,0.192,-0.025,-0.080,-0.375,2.538,1.846
5655,5.845,-0.010,2.524,0.018,0.231,-0.180,0.012,-0.372,-0.166,-0.092,-0.370,3.000,1.250
5883,27.173,0.003,3.584,0.277,0.520,0.818,0.311,1.641,1.809,1.499,2.377,5.833,8.500
6232,12.066,-0.025,2.215,0.895,0.394,-0.323,-0.047,0.738,-0.002,2.423,0.260,3.000,2.538
6429,17.177,-0.018,3.993,1.246,1.455,-0.078,-0.026,2.558,1.842,0.510,0.485,2.684,2.526
6430,7.312,-0.019,2.122,-0.098,0.056,-0.162,-0.043,-0.262,-0.431,0.350,0.344,2.727,2.727
6697,8.171,-0.006,3.233,-0.188,-0.591,-0.058,0.041,0.088,0.242,-0.348,-0.242,4.364,1.636
6838,9.236,-0.002,2.647,0.960,0.950,-0.314,-0.004,-0.004,-0.445,0.670,-0.991,3.000,2.769
6902,12.805,-0.008,6.342,0.648,0.617,-0.215,-0.049,-0.066,-0.291,0.473,0.155,3.000,2.200
6985,17.052,0.008,5.736,0.908,1.752,0.950,0.014,0.861,0.138,0.841,0.443,3.000,2.400
6988,20.269,0.013,7.176,1.330,1.875,0.258,0.007,0.826,1.167,0.894,0.407,3.632,2.684
6999,10.379,-0.019,3.313,0.188,-0.040,0.525,-0.001,0.710,0.370,1.098,-0.380,3.000,1.615
7010,22.986,-0.002,8.920,1.539,1.971,-0.095,-0.067,0.409,0.203,1.689,0.704,5.571,2.143
7033,15.083,0.005,3.195,1.702,1.022,0.396,0.235,0.076,-0.033,0.383,-0.469,5.786,2.786
7035,15.105,-0.007,5.753,0.626,1.411,-0.167,-0.025,0.209,0.713,-0.065,-0.606,4.421,2.842
7071,13.312,0.005,2.960,1.096,0.883,0.047,-0.007,0.535,-0.076,1.216,0.652,3.600,2.400
7108,27.888,-0.015,8.525,1.515,2.394,0.001,0.011,0.422,-0.039,1.204,0.535,3.000,10.333
7228,21.119,-0.009,5.106,0.855,0.639,-0.455,-0.034,-0.393,-0.313,0.453,0.469,5.800,9.000
7293,14.072,-0.005,6.142,0.360,0.738,-0.342,-0.042,-0.265,-0.148,0.345,0.367,4.615,2.308
7296,16.888,-0.021,7.467,1.411,1.730,-0.123,-0.030,-0.002,-0.006,-0.102,0.794,2.769,3.000
7444,11.848,-0.052,5.736,-0.320,-0.395,0.315,-0.048,0.052,-0.145,0.630,0.875,3.000,2.200
7466,5.506,0.011,2.586,0.003,-0.797,-0.098,-0.028,-0.151,-0.222,-0.024,0.408,2.455,1.364
7481,11.377,-0.001,2.721,0.195,-0.108,0.350,0.069,0.550,-0.001,-0.037,-0.028,5.333,2.333
7569,9.154,-0.013,4.935,-0.127,0.120,-0.058,0.045,-0.238,-0.342,-0.410,-0.212,2.727,2.727
7570,21.118,0.110,5.753,1.731,2.806,0.441,0.227,0.609,0.879,1.762,0.800,3.800,2.200
7576,16.691,0.009,2.922,0.345,0.505,0.112,-0.030,0.202,0.331,-0.352,-0.046,5.538,7.154
7585,5.195,-0.003,1.448,0.559,0.312,-0.240,0.032,-0.729,-0.462,-0.658,-0.519,3.545,1.909
7600,8.714,-0.004,4.665,0.008,0.312,-0.170,-0.015,-0.545,-0.335,-0.335,-0.366,3.250,2.250
7628,4.324,0.183,2.999,-0.219,-0.332,0.105,0.009,-0.130,0.274,-0.639,-0.108,0.273,1.909
7637,7.750,0.000,-0.559,-0.067,-0.364,0.554,-0.012,1.242,0.213,1.231,-0.490,4.000,2.000
7682,18.241,-0.014,2.004,0.458,0.570,1.220,-0.037,1.833,0.766,2.576,1.482,4.615,2.769
7683,9.059,-0.019,3.477,0.491,0.861,-0.103,-0.018,-0.430,0.056,-0.164,-0.274,3.545,1.636
7684,18.846,0.111,6.703,1.807,2.265,-0.318,-0.078,-0.574,-0.372,0.903,0.399,5.600,2.400
