Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
418,15.117,0.009,5.600,0.267,0.321,-0.013,0.040,0.543,-0.014,1.485,1.094,3.000,2.786
624,21.628,-0.070,7.573,-0.356,-0.116,0.202,0.264,0.907,0.257,0.452,1.146,6.000,5.368
647,7.076,0.264,-0.003,0.082,-0.380,0.105,0.163,0.038,-0.179,1.344,0.715,2.357,2.571
2158,16.605,-0.042,4.808,0.163,0.468,0.070,-0.253,0.111,0.388,1.229,1.378,5.571,2.714
2468,28.755,-0.042,5.387,2.072,3.109,0.382,-0.143,1.028,1.021,1.824,1.169,3.000,9.947
2583,10.190,-0.041,3.077,0.564,0.375,-0.107,-0.155,-0.729,-0.201,-0.322,-0.844,4.929,3.643
2714,18.814,-0.008,3.012,0.751,0.585,2.229,1.417,0.936,0.188,0.365,0.623,5.000,3.714
2721,3.423,-0.008,1.099,-0.245,0.095,-0.206,-0.068,-0.071,-0.022,-0.711,-0.190,2.250,1.500
2789,3.771,-0.062,0.271,0.128,0.132,-0.107,-0.047,-0.339,-0.178,0.115,-0.642,2.000,2.500
2848,4.155,-0.048,-0.505,0.124,-0.219,-0.062,-0.125,-0.256,-0.138,0.061,-0.676,3.000,3.000
2881,16.509,-0.032,4.005,0.526,1.395,0.053,-0.174,-0.370,0.123,1.110,0.310,5.625,3.938
2950,3.429,-0.066,0.186,0.372,0.376,-0.108,-0.141,-0.345,-0.096,-0.442,-0.557,1.750,2.500
3005,14.632,0.025,2.466,1.474,2.172,0.208,0.316,0.236,0.084,1.962,1.118,2.714,1.857
3561,11.404,-0.040,5.904,-0.006,0.450,-0.261,-0.145,-0.274,-0.202,-0.901,-0.871,5.500,2.250
3676,22.725,-0.056,10.201,1.759,3.077,-0.128,-0.016,0.088,0.138,1.122,0.726,3.000,2.813
3679,18.802,-0.050,7.369,0.353,0.570,0.113,-0.127,0.195,0.440,0.961,1.478,4.500,3.000
3743,9.086,-0.048,2.090,-0.112,0.115,0.102,-0.127,0.680,-0.016,0.500,0.594,2.538,2.769
3834,4.799,0.129,1.665,0.126,-0.098,-0.152,0.220,-0.331,-0.106,-0.023,-0.738,1.737,2.368
4610,25.380,0.083,7.767,1.818,2.916,0.199,-0.209,0.448,0.559,2.149,2.238,6.000,1.412
5052,5.985,-0.028,3.558,-0.240,-0.888,-0.078,-0.119,-0.413,-0.132,-0.094,0.349,2.357,1.714
5103,12.757,0.277,4.916,0.981,-0.032,-0.034,0.014,-0.236,0.059,-0.670,-0.017,5.250,2.250
5503,13.572,-0.083,3.140,1.422,2.045,-0.081,-0.007,-0.113,-0.077,1.509,0.245,3.000,2.571
5754,7.916,0.139,1.361,0.264,0.398,-0.060,-0.077,-0.005,-0.223,1.282,0.087,2.250,2.500
6155,11.235,0.060,2.745,0.544,1.122,0.076,-0.103,0.410,-0.035,0.699,0.516,2.800,2.400
6180,9.468,0.110,0.282,0.367,-0.646,0.215,0.168,1.243,0.632,1.012,0.462,3.000,2.625
6321,13.239,-0.055,1.761,1.903,1.030,0.030,0.060,-0.003,0.052,0.300,-0.197,3.000,5.357
6357,14.543,0.056,2.994,1.888,1.154,0.193,-0.000,1.951,-0.101,1.267,-0.459,3.000,2.600
6377,26.634,-0.090,9.836,0.599,0.977,0.064,0.313,0.095,-0.185,2.106,0.743,4.059,8.118
6646,15.190,0.201,2.635,1.889,2.153,-0.099,0.017,0.491,-0.058,1.743,-0.582,3.000,3.800
6664,1.008,-0.062,0.990,-0.343,-0.716,-0.084,0.040,-0.246,-0.197,-0.879,-0.745,1.500,1.750
7138,7.478,-0.018,0.549,-0.009,0.584,0.149,0.178,0.434,-0.088,0.362,-0.162,3.500,2.000
7264,3.823,0.120,0.848,0.190,0.041,0.259,-0.088,0.045,0.324,0.152,-0.067,0.250,1.750
7511,5.969,0.152,0.917,0.179,-0.419,-0.049,0.028,0.316,-0.074,0.419,-0.429,3.000,1.929
7621,4.885,0.072,-1.754,0.319,-0.032,-0.105,0.078,-0.313,-0.099,0.060,0.482,3.706,2.471
7837,6.662,-0.000,2.282,0.492,0.403,0.020,0.046,0.120,0.000,0.433,-0.596,1.154,2.308
7872,6.034,-0.043,1.094,0.436,-0.853,0.111,-0.067,-0.172,-0.102,0.554,-0.424,3.000,2.500
