Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
118,33.969,0.075,3.792,0.520,0.677,0.845,0.511,2.462,2.864,3.609,4.876,3.158,10.579
457,3.736,-0.093,-0.092,-0.659,-0.436,0.070,0.277,0.259,-0.020,-0.185,-0.099,2.571,2.143
1164,12.502,-0.069,2.326,0.353,-0.479,0.406,0.548,-0.128,0.429,0.469,0.291,5.571,2.786
2613,10.185,0.247,-0.345,0.856,0.709,-0.206,-0.085,0.085,0.012,-0.056,-0.385,3.882,5.471
3366,7.557,-0.202,4.010,0.528,0.428,0.134,-0.231,0.030,-0.029,0.638,0.324,0.000,1.929
3847,21.393,0.677,3.197,1.255,1.423,0.945,0.610,0.501,-0.359,3.069,2.812,4.737,2.526
4063,23.307,2.516,-1.282,2.798,4.285,-0.183,-0.090,0.197,0.321,0.800,0.278,3.167,10.500
4153,16.989,1.481,2.404,1.025,1.262,-0.131,-0.087,-0.410,-0.292,1.082,0.323,5.667,4.667
4301,13.250,0.465,5.171,0.002,0.273,0.236,0.127,-0.032,-0.117,1.074,0.217,3.000,2.833
4328,7.349,0.321,-1.876,1.790,1.421,-0.087,0.014,-0.238,-0.177,1.454,0.038,2.625,2.063
4378,13.713,-0.245,6.300,0.454,0.619,0.062,0.128,-0.012,-0.252,0.028,0.631,3.353,2.647
4717,3.895,-0.247,1.827,-0.514,-0.250,0.150,0.356,-0.041,-0.253,-0.302,-0.583,1.500,2.250
4799,7.034,-0.221,2.255,-0.009,-0.427,-0.043,-0.017,0.193,0.067,0.133,-0.254,3.000,2.357
5047,7.160,0.625,2.763,0.316,0.130,-0.684,-0.511,-0.404,-0.628,-0.209,0.393,3.158,2.211
5613,1.239,0.025,-1.837,-0.292,-0.463,0.137,-0.174,0.294,0.201,0.236,0.112,0.857,2.143
5783,9.553,0.143,-0.439,1.116,0.742,0.264,-0.125,0.888,0.265,0.993,-0.117,3.176,2.647
5866,13.800,-0.079,4.212,0.484,0.709,0.127,0.105,-0.066,-0.256,0.479,0.209,5.250,2.625
6144,16.168,-0.440,2.405,0.594,0.636,0.056,-0.153,0.239,0.378,0.841,-0.201,2.625,9.188
6682,9.219,-0.110,0.117,0.664,0.610,0.126,0.292,0.346,0.168,0.833,-0.254,2.571,3.857
6974,14.146,-0.123,6.660,0.229,0.431,0.159,0.418,0.369,0.200,-0.062,-0.564,4.286,2.143
7271,10.907,0.301,4.645,0.106,0.277,-0.164,-0.113,-0.494,-0.287,0.366,-0.586,4.286,2.571
7533,6.228,0.041,0.754,0.394,0.471,-0.183,-0.262,0.056,0.321,0.187,0.379,1.929,2.143
7540,9.764,0.228,0.424,0.685,0.567,-0.034,-0.192,-0.425,-0.327,2.267,1.216,2.571,2.786
7649,3.923,0.030,-0.232,0.267,-0.527,-0.197,-0.167,0.672,0.214,0.365,-0.358,1.929,1.929
7750,8.224,0.137,1.890,0.052,-0.139,0.234,0.407,0.184,0.309,-0.485,0.278,3.214,2.143
