Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
122,12.070,0.587,4.589,0.812,1.244,0.003,-0.070,-0.109,-0.129,-0.039,-0.389,3.429,2.143
346,33.014,5.177,1.711,1.580,2.336,-0.326,-0.355,-0.589,-0.578,3.203,3.021,5.833,12.000
384,19.494,0.446,5.834,1.214,1.046,-0.314,-0.056,-0.598,-0.394,-0.255,-0.219,5.526,7.263
422,18.403,-0.163,10.195,1.282,1.513,-0.500,0.048,-0.583,-0.271,0.157,-0.347,5.143,1.929
539,8.527,0.929,1.255,0.717,0.541,-0.191,0.350,-0.406,0.029,-0.220,-0.476,3.429,2.571
540,16.203,-0.101,3.926,0.696,1.069,0.603,0.218,0.870,0.891,1.012,1.725,3.529,1.765
617,2.390,-0.204,2.955,0.807,0.359,-0.338,-0.075,-0.407,-0.223,-0.459,-0.525,0.250,0.250
619,20.097,0.510,3.209,1.667,1.093,0.346,-0.070,0.440,0.657,2.140,1.320,6.000,2.786
977,15.702,0.155,1.990,0.069,0.146,0.523,-0.185,1.313,0.544,2.099,0.400,5.824,2.824
1080,9.846,-0.102,2.822,-0.637,-0.433,0.446,0.168,0.293,0.362,0.478,0.449,3.250,2.750
1086,12.150,-0.155,4.624,0.870,0.995,-0.251,0.086,-0.124,-0.216,0.511,-0.690,3.500,3.000
1262,23.106,0.412,2.286,0.530,0.838,1.265,0.937,1.500,1.390,2.485,3.130,3.000,5.333
1413,16.314,-0.004,4.577,0.237,-0.170,-0.048,-0.045,0.504,0.298,0.872,0.235,4.929,4.929
1522,8.771,0.187,1.988,0.912,1.298,-0.093,-0.045,-0.381,-0.119,0.152,-0.377,2.750,2.500
1598,6.497,0.308,1.658,-0.220,0.365,0.163,-0.062,0.223,0.102,0.036,-0.827,3.750,1.000
1599,19.745,-0.212,2.163,1.727,2.334,0.080,0.390,0.281,-0.113,1.274,0.172,4.941,6.706
1610,19.791,0.306,0.680,1.285,0.027,2.103,0.400,2.446,0.523,3.544,0.426,4.895,3.158
1793,12.678,0.309,1.427,1.456,0.872,-0.197,0.466,0.198,-0.361,2.962,0.546,2.800,2.200
1908,14.700,-0.509,7.038,0.756,0.963,0.063,-0.006,-0.011,-0.298,-0.461,0.736,2.143,4.286
2106,18.262,0.690,1.970,1.019,0.882,0.326,-0.049,1.361,-0.149,1.586,0.038,3.000,7.588
2998,22.015,0.520,7.785,1.537,2.468,0.093,-0.048,0.526,-0.232,0.799,-0.033,5.800,2.800
3136,11.185,0.190,2.887,0.583,0.830,0.204,0.003,-0.346,0.024,0.810,0.213,4.071,1.714
3258,12.242,-0.186,6.346,-0.460,-0.032,0.067,-0.111,-0.030,0.313,0.166,-0.044,3.857,2.357
3359,14.810,-0.586,4.977,0.458,0.226,-0.262,-0.142,0.096,0.204,0.587,0.252,5.211,3.789
3361,16.099,0.572,2.050,1.140,0.783,0.509,-0.122,0.126,-0.183,-0.109,-0.416,5.500,6.250
4286,5.371,0.560,1.928,0.221,0.145,-0.404,-0.070,-0.247,-0.276,-0.477,-0.510,3.750,0.750
5546,17.082,-0.008,3.718,0.704,0.857,0.510,-0.150,1.580,0.932,1.071,0.869,3.000,4.000
5804,14.337,-0.375,5.062,0.624,1.099,-0.016,-0.211,0.406,-0.009,0.200,0.322,4.588,2.647
5950,8.737,-0.395,1.937,-0.218,0.057,-0.073,0.000,0.284,0.127,0.587,0.680,2.500,3.250
5957,10.338,-0.331,1.849,0.598,0.912,-0.218,-0.008,-0.240,0.014,0.486,0.204,4.071,3.000
6021,2.312,0.196,0.384,0.320,0.484,-0.122,0.052,-0.243,-0.128,0.000,0.118,0.500,0.750
6189,4.949,-0.154,1.077,0.970,-0.310,0.377,-0.077,-0.292,-0.250,0.245,0.363,1.750,1.250
6334,12.428,0.666,-1.926,0.273,0.182,1.342,-0.035,1.826,-0.160,2.365,0.822,4.714,2.357
6802,24.044,-0.312,7.379,0.829,0.919,0.334,-0.019,1.097,0.821,1.839,1.451,3.000,6.706
6882,8.194,-0.174,2.196,0.231,0.778,0.090,-0.148,0.378,-0.061,0.285,-0.068,2.250,2.438
7330,0.615,0.756,0.642,0.404,-0.093,0.147,-0.097,-0.141,-0.295,-0.174,-0.534,0.000,0.000
7429,8.020,-0.261,0.606,0.410,0.610,-0.015,-0.110,0.145,0.644,-0.713,0.204,4.250,2.250
