Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
116,11.864,-0.124,6.240,0.096,0.582,-0.032,0.090,-0.219,-0.413,0.350,0.150,2.786,2.357
316,14.894,-0.080,6.776,0.568,0.220,-0.205,-0.126,0.207,-0.615,0.807,-0.839,5.455,2.727
339,13.713,-0.003,2.667,-0.331,-0.951,0.496,0.077,-0.070,0.025,1.564,0.316,5.769,4.154
611,13.233,-0.132,5.774,-0.490,0.001,0.226,0.120,0.053,0.513,1.169,1.498,2.786,1.714
612,27.480,-0.135,6.461,1.463,2.241,-0.161,-0.094,0.585,0.762,0.373,-0.066,5.850,10.200
614,24.935,0.340,9.234,1.064,1.920,-0.655,-0.422,0.368,0.163,0.985,0.837,6.000,5.100
620,5.584,0.145,0.347,0.519,0.565,0.239,0.047,0.163,0.232,-0.217,-0.819,2.727,1.636
623,9.006,-0.021,2.902,0.400,0.049,-0.067,0.291,-0.109,-0.306,0.433,0.252,2.727,2.455
888,18.951,-0.061,4.283,0.192,0.779,0.126,-0.117,0.094,0.060,1.220,1.019,5.143,6.214
1123,5.670,-0.063,0.828,-0.119,-0.431,0.030,0.087,0.017,0.035,0.213,0.435,2.455,2.182
1418,22.882,0.403,-1.889,0.723,0.825,2.458,1.632,2.678,2.009,3.059,3.633,3.000,4.350
1629,14.788,-0.078,1.774,2.187,2.265,0.622,0.007,0.575,-0.006,1.433,0.650,3.000,2.357
1719,15.766,0.054,-0.645,1.000,1.406,0.157,0.158,0.455,0.301,1.207,1.388,3.000,7.286
1731,16.651,0.062,3.311,-0.001,0.044,0.228,-0.045,1.249,0.701,2.642,2.316,4.286,1.857
1895,17.670,0.029,6.175,0.546,1.080,0.011,-0.039,0.371,-0.155,1.540,1.039,4.071,3.000
2028,12.577,-0.037,5.199,0.623,1.016,-0.139,-0.147,-0.563,-0.344,0.686,0.497,3.000,2.786
2186,7.939,-0.026,2.137,0.117,0.009,0.120,-0.144,0.206,-0.401,0.402,0.442,2.538,2.538
2199,17.728,-0.025,5.884,0.842,1.779,0.404,0.125,-0.518,-0.154,0.042,-1.239,2.824,7.765
2363,22.675,0.184,2.557,1.182,1.483,0.181,0.125,1.656,2.408,0.710,0.490,5.700,6.000
2421,8.668,-0.167,3.278,-0.085,-0.083,-0.087,-0.010,0.097,-0.110,0.616,1.129,2.182,1.909
2534,21.650,-0.097,6.744,0.778,0.745,-0.301,-0.084,0.032,-0.121,2.336,2.264,3.000,6.353
2819,0.740,0.326,1.613,0.546,-0.371,-0.073,-0.015,-0.428,-0.222,-1.094,-1.178,0.273,1.364
2961,0.814,-0.034,-1.090,0.243,-0.145,0.254,0.103,0.210,0.049,-0.102,-0.036,0.818,0.545
2988,19.441,0.197,3.730,1.547,0.530,0.153,-0.021,-0.079,-0.079,2.247,0.717,5.571,4.929
3274,1.758,-0.007,-2.153,0.961,0.514,-0.050,-0.102,-0.261,-0.084,-0.627,-1.069,3.000,1.636
3373,10.709,-0.050,1.609,0.251,0.010,0.173,0.386,0.415,0.358,1.494,2.062,2.250,1.750
3455,18.315,-0.011,4.470,2.396,2.528,0.173,0.122,0.738,0.353,0.958,0.374,4.071,2.143
3941,14.839,-0.038,6.226,0.360,1.199,0.096,-0.200,0.234,0.208,-0.036,0.244,4.364,2.182
4099,17.615,0.098,3.841,0.594,0.435,0.279,0.272,0.358,0.117,1.376,2.369,5.438,2.438
4242,16.616,-0.085,5.275,0.182,0.764,-0.120,0.002,0.273,-0.114,0.135,0.611,6.000,3.692
4464,1.130,-0.131,-0.234,-0.104,-0.063,0.176,0.483,-0.211,0.109,-0.451,-0.353,1.364,0.545
4505,14.408,-0.039,5.660,-0.366,-0.295,0.001,-0.259,0.140,0.304,1.228,-0.402,6.000,2.438
5338,18.157,-0.067,3.924,1.063,1.096,-0.158,-0.119,0.165,-0.454,0.699,0.008,2.625,9.375
5549,9.623,0.059,1.638,0.662,0.473,-0.101,-0.062,0.979,0.080,0.351,0.249,3.176,2.118
6504,10.539,-0.119,1.934,0.156,0.164,0.120,0.467,-0.119,0.092,-0.381,-1.321,4.909,4.636
6543,13.484,0.371,6.114,1.249,1.160,-0.852,-0.626,-0.422,-0.122,0.331,0.281,3.000,3.000
6584,8.292,0.350,0.915,0.949,1.036,-0.067,-0.050,0.326,-0.109,0.073,-0.040,2.455,2.455
6863,3.420,0.112,0.406,0.245,0.469,-0.263,-0.209,-0.016,-0.318,0.179,-0.186,1.364,1.636
