Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
360,15.850,0.499,-0.141,0.582,0.473,-0.313,-0.099,-0.249,-0.037,-0.507,-0.431,6.000,10.071
949,4.901,0.358,0.004,0.811,0.527,0.090,-0.022,-0.180,-0.013,1.030,0.219,1.154,0.923
1318,20.074,-0.115,8.854,0.770,1.480,0.591,-0.013,0.911,-0.013,1.747,0.061,2.800,3.000
1778,7.097,-0.007,1.211,0.240,0.624,0.045,-0.022,0.020,-0.015,0.170,-0.045,2.813,2.063
1983,19.343,-0.138,4.748,0.434,0.949,0.532,-0.080,0.788,-0.083,1.115,0.426,4.650,6.000
2147,18.200,2.728,1.379,1.600,0.907,-0.010,-0.079,-0.212,0.028,1.237,-0.092,6.000,4.714
2605,5.642,0.179,0.234,0.829,0.309,-0.022,-0.011,-0.431,-0.034,-0.380,-0.781,3.000,2.750
2903,6.448,0.791,0.949,0.360,-0.004,-0.202,-0.012,-0.390,0.012,0.274,-0.045,3.000,1.714
2910,30.131,5.070,-1.695,1.754,2.172,0.413,0.008,0.086,0.005,3.692,3.627,3.500,11.500
2928,20.729,-0.240,4.894,0.714,1.115,-0.088,-0.056,0.233,-0.029,1.440,1.981,6.000,4.765
2930,24.988,0.619,7.100,1.555,2.253,0.114,-0.036,0.318,-0.011,1.836,2.573,3.167,5.500
2980,14.653,0.311,-0.185,0.811,0.295,0.311,0.220,1.212,-0.007,2.421,1.675,5.118,2.471
3049,3.607,0.582,1.318,-0.331,-0.407,-0.247,-0.037,-0.502,-0.001,-0.332,-0.186,2.500,1.250
3219,6.419,0.638,0.402,0.165,0.594,-0.421,-0.032,-0.687,-0.004,0.121,-0.357,4.500,1.500
3238,11.750,0.378,0.399,0.368,0.331,0.308,-0.031,1.632,0.225,1.011,0.329,4.600,2.200
3268,12.321,-0.193,4.571,0.819,0.216,0.370,0.206,0.319,-0.005,0.448,-0.003,3.429,2.143
3663,17.236,-0.738,8.202,1.071,0.917,-0.035,0.019,-0.413,-0.068,0.452,0.029,4.800,3.000
3786,8.281,-0.213,1.254,-0.150,-0.469,0.095,-0.019,0.555,-0.004,0.833,0.150,4.250,2.000
3812,15.857,-0.217,4.963,0.802,0.889,-0.132,-0.086,-0.090,-0.023,0.274,0.050,6.000,3.429
3826,11.612,0.992,-1.927,0.980,0.876,-0.110,0.222,0.027,-0.008,1.160,0.614,5.571,3.214
4089,11.304,0.303,1.088,-0.392,-0.514,0.451,-0.018,0.779,-0.014,1.263,0.359,3.000,5.000
4173,10.789,-0.717,4.374,-0.223,-0.389,0.558,0.199,0.407,-0.056,0.158,0.693,3.643,2.143
4180,0.788,-0.327,-1.169,0.330,-0.059,0.078,0.006,-0.409,-0.026,-1.352,-0.785,3.000,1.500
4309,12.748,1.829,-0.508,1.952,1.869,-0.138,-0.075,-0.378,0.022,2.503,0.378,3.000,2.294
4469,19.924,0.054,3.303,0.194,0.459,0.230,0.191,0.791,0.231,2.032,1.725,5.357,5.357
4512,14.961,0.002,2.529,0.836,0.472,0.750,0.004,1.258,-0.005,1.554,-0.314,5.250,2.625
4513,10.595,0.399,1.350,0.834,1.305,-0.272,-0.007,-0.094,-0.012,1.051,0.707,2.667,2.667
4579,10.638,0.603,1.361,1.184,1.161,-0.195,-0.064,-0.255,0.204,0.862,-0.076,3.600,2.250
4682,9.601,-0.314,2.182,0.099,0.526,0.231,0.004,0.975,0.010,1.350,-0.390,3.000,1.929
4683,2.685,0.181,-0.582,-0.160,0.069,0.336,-0.030,0.558,0.000,-0.149,0.212,0.000,2.250
5295,6.546,0.231,1.398,0.581,0.336,-0.115,-0.050,0.269,0.002,-0.151,-0.205,1.750,2.500
5683,12.526,0.421,-0.203,0.286,0.421,0.300,-0.027,1.480,-0.025,2.174,2.697,2.600,2.400
5803,23.586,-0.322,5.778,1.234,1.559,0.266,0.195,0.506,-0.059,1.023,-0.094,5.550,7.950
7627,9.459,1.489,0.427,1.219,0.955,-0.005,0.006,0.298,-0.011,0.118,-0.787,2.750,3.000
